"","Insult","Comment"
"1","1","""Be careful,Jimbo.OG has a fork with your name on it."""
"2","1","""@tonnyb  Or they just don't pay attention """
"3","1","""FOR SOME REASON U SOUND RETARDED. LOL. DAMN. WHERE U BEEN NEGRO"""
"4","1","""Head's up warning...another source of funding for Media Matters is Peter Lewis of the Progessive Insurance Company. You know, those auto insurance commercials that run every 5 minutes on cable television featuring the gal who looks like a blow-up doll with red lips and\\xc2\\xa0a perfectly round mouth...if you know what I mean.\\nIF you have Progressive\\xc2\\xa0auto insurance, just know that part of your premium is going to fund a progressive liberal\\xc2\\xa0organization hell bent\\xc2\\xa0on destroying\\xc2\\xa0our country and our free speech. Their mission is to\\xc2\\xa0bring down\\xc2\\xa0Hannity,Beck,Dobbs,Lavin,Limbaugh,Boortz,etc. We must not let them win."""
"5","1","""Fast & furious didn't work out like they planned did it?.............lololololololol"""
"6","0","""Aimless Abe you are a delusion weirdo that should be locked up inside and kept away from computers.\xa0 Anyone who doubts the lunacy of Abe the moronic prog frog from NYC please read this thread and you will see Abe completely come apart from the seams and go off the deep end."""
"7","1","""OKC should work out a deal to get a PG who plays more like Parker or CP3.  I think Nash at the point, and move Westbrook to SG that team would be unstoppable.  Imagine the shots Nash would create for Durant.  Then Westbrook would be at his natural position too, the guy doesn't create shots or distribute."""
"8","0","""um\n\xa0\nholy fuck i need a cigarette"""
"9","1","""You seem wistful."""
"10","1","""Why should they bother improving ios if they sell more phones than they care to produce. These advice are better served to the also-runs... wp first and foremost"""
"11","1","""Surely will be a crushing blow, when he doesn't get the next four years, would you consider leaving the country????????????????"""
"12","1","""@beeline @SidneyCatsby ...I'm assuming you are in school in the states."""
"13","0","""YOLO. This is hilarious. Canyon students are so racist! Even though most of us are Mexican! Fuck gabby!"""
"14","0","""and retards like you back to the institutions."""
"15","0","""Exactly. Like, I don't really give a shit how fat a person may or may not feel, but it really is shitty when your clothes don't fit. And not in a ""I'm so gross"" way but in a ""I can't very well leave the house naked!!"" way."""
"16","1","""Oh fab - we have a tennis player who has a sense of humour and who can smile. Mr Murray please note. Mind you he has left it too late to cheer up. Misery guts"""
